组态设备名称:设备0
驱动库文件路径:d:\demons\mcgspro\3.3.2.5166\mcgspro\program\drivers\通用设备\modbus\modbustcp\modbustcp_str.ui
驱动构件名称:ModbusTCP
驱动构件版本:7.101
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
0,QiDong_i,INTEGER,只读10001,只读,[1区]输入继电器,NULL,1,,1,
1,TingZhi_i,INTEGER,只读10002,只读,[1区]输入继电器,NULL,2,,1,
2,GaoSu_i,INTEGER,只读10003,只读,[1区]输入继电器,NULL,3,,1,
3,DiSu_i,INTEGER,只读10004,只读,[1区]输入继电器,NULL,4,,1,
4,DianDong_i,INTEGER,只读10005,只读,[1区]输入继电器,NULL,5,,1,
5,FangJuanZhangLi_i,INTEGER,只读10006,只读,[1区]输入继电器,NULL,6,,1,
6,XiChen_i,INTEGER,只读10007,只读,[1区]输入继电器,NULL,7,,1,
7,QiZhangDown_i,INTEGER,只读10008,只读,[1区]输入继电器,NULL,8,,1,
8,YaDaiHou_i,INTEGER,只读11169,只读,[1区]输入继电器,NULL,1169,,1,
9,ZhanChenQian_i,INTEGER,只读11170,只读,[1区]输入继电器,NULL,1170,,1,
10,ZhanChenHou_i,INTEGER,只读11171,只读,[1区]输入继电器,NULL,1171,,1,
11,YaGunFangJuan_i,INTEGER,只读11172,只读,[1区]输入继电器,NULL,1172,,1,
12,YaGunShouJuan_i,INTEGER,只读11173,只读,[1区]输入继电器,NULL,1173,,1,
13,JingDianBangDian_i,INTEGER,只读11174,只读,[1区]输入继电器,NULL,1174,,1,
14,JingDianBangQi_i,INTEGER,只读11175,只读,[1区]输入继电器,NULL,1175,,1,
15,QiZhanghuan_i,INTEGER,只读11176,只读,[1区]输入继电器,NULL,1176,,1,
16,GuDingYouUp_i,INTEGER,只读11177,只读,[1区]输入继电器,NULL,1177,,1,
17,GuDingYouDown_i,INTEGER,只读11178,只读,[1区]输入继电器,NULL,1178,,1,
18,FangJuanSiFu_o,INTEGER,读写00001,读写,[0区]输出继电器,NULL,1,,1,
19,FangJuanQianYinSiFu_o,INTEGER,读写00002,读写,[0区]输出继电器,NULL,2,,1,
20,QieDaoQianYinSiFu_o,INTEGER,读写00003,读写,[0区]输出继电器,NULL,3,,1,
21,ShouJuanSiFuUp_o,INTEGER,读写00004,读写,[0区]输出继电器,NULL,4,,1,
22,ShouJuanSiFuDown_o,INTEGER,读写00005,读写,[0区]输出继电器,NULL,5,,1,
23,GenSuiSiFuUp_o,INTEGER,读写00006,读写,[0区]输出继电器,NULL,6,,1,
24,GenSuiSiFuDown_o,INTEGER,读写00007,读写,[0区]输出继电器,NULL,7,,1,
25,BianLiaoSiFu_ZuoYou_o,INTEGER,读写00008,读写,[0区]输出继电器,NULL,8,,1,
26,QiDong_o,INTEGER,读写00009,读写,[0区]输出继电器,NULL,9,,1,
27,TingZhi_o,INTEGER,读写00010,读写,[0区]输出继电器,NULL,10,,1,
28,GaoSu_o,INTEGER,读写00011,读写,[0区]输出继电器,NULL,11,,1,
29,DiSu_o,INTEGER,读写00012,读写,[0区]输出继电器,NULL,12,,1,
30,DianDongDeng_o,INTEGER,读写00013,读写,[0区]输出继电器,NULL,13,,1,
31,FangJuanZhangLi_o,INTEGER,读写00014,读写,[0区]输出继电器,NULL,14,,1,
32,XiChenDeng_o,INTEGER,读写00015,读写,[0区]输出继电器,NULL,15,,1,
33,QiZhangDown_o,INTEGER,读写00016,读写,[0区]输出继电器,NULL,16,,1,
34,out_ShengSuLamp_BOOL_o,INTEGER,读写00017,读写,[0区]输出继电器,NULL,17,,1,
35,out_JianSuLamp_BOOL_o,INTEGER,读写00018,读写,[0区]输出继电器,NULL,18,,1,
36,out_RewindingArmLamp_o,INTEGER,读写00019,读写,[0区]输出继电器,NULL,19,,1,
37,out_ServoOnOffLamp_o,INTEGER,读写00020,读写,[0区]输出继电器,NULL,20,,1,
38,AlertYellowLampBeep_BOOL_o,INTEGER,读写00021,读写,[0区]输出继电器,NULL,21,,1,
39,,INTEGER,读写00022,读写,[0区]输出继电器,NULL,22,,1,
40,D_UpSpeed_BOOL_FromPC_GM,INTEGER,读写00023,读写,[0区]输出继电器,NULL,23,,1,
41,D_DownSpeed_BOOL_FromPC_GM,INTEGER,读写00024,读写,[0区]输出继电器,NULL,24,,1,
42,D_Stop_BOOL_FromPC_GM,INTEGER,读写00025,读写,[0区]输出继电器,NULL,25,,1,
43,D_Reset_BOOL_FromPC_GM,INTEGER,读写00026,读写,[0区]输出继电器,NULL,26,,1,
44,LCD_RewindingAirLoop_BOOL_GM,INTEGER,读写00027,读写,[0区]输出继电器,NULL,27,,1,
45,LCD_YaGun_BOOL_GM,INTEGER,读写00028,读写,[0区]输出继电器,NULL,28,,1,
46,LCD_ZhiDao_BOOL_GM,INTEGER,读写00029,读写,[0区]输出继电器,NULL,29,,1,
47,LCD_RewindingArm_BOOL_GM,INTEGER,读写00030,读写,[0区]输出继电器,NULL,30,,1,
48,LCD_OffEnable_BOOL_GM,INTEGER,读写00031,读写,[0区]输出继电器,NULL,31,,1,
49,,INTEGER,读写00032,读写,[0区]输出继电器,NULL,32,,1,
50,,INTEGER,读写00033,读写,[0区]输出继电器,NULL,33,,1,
51,RadiusIniCal_Axis_1_BOOL_GM,INTEGER,读写00034,读写,[0区]输出继电器,NULL,34,,1,
52,RadiusIniCalDone_BOOL_GM,INTEGER,读写00035,读写,[0区]输出继电器,NULL,35,,1,
53,DiaTypeUserDef_BOOL_GM,INTEGER,读写00036,读写,[0区]输出继电器,NULL,36,,1,
54,D_YuanDaoSwitch_BOOL_FromPC_GM,INTEGER,读写00037,读写,[0区]输出继电器,NULL,37,,1,
55,,INTEGER,读写00038,读写,[0区]输出继电器,NULL,38,,1,
56,YaGunZiDong_BOOL_GM,INTEGER,读写00039,读写,[0区]输出继电器,NULL,39,,1,
57,,INTEGER,读写00040,读写,[0区]输出继电器,NULL,40,,1,
58,Alert_10mSwitch_BOOL_GM,INTEGER,读写00041,读写,[0区]输出继电器,NULL,41,,1,
59,OpenLoop_BOOL_GM,INTEGER,读写00042,读写,[0区]输出继电器,NULL,42,,1,
60,Alert_10m0Up1Down_BOOL_GM,INTEGER,读写00043,读写,[0区]输出继电器,NULL,43,,1,
61,Alert_GuangShanSwitch_BOOL_GM,INTEGER,读写00044,读写,[0区]输出继电器,NULL,44,,1,
62,ZongMeterLongClear_BOOL_GM,INTEGER,读写00045,读写,[0区]输出继电器,NULL,45,,1,
63,TestFanchongQiYa_BOOL_GM,INTEGER,读写00046,读写,[0区]输出继电器,NULL,46,,1,
64,mode_DynaPara_Run_b_o,INTEGER,读写00047,读写,[0区]输出继电器,NULL,47,,1,
65,J_Fangjuan_Start_o,INTEGER,读写00048,读写,[0区]输出继电器,NULL,48,,1,
66,CORRECT_BOOL_G,INTEGER,读写00049,读写,[0区]输出继电器,NULL,49,,1,
67,R_Cal_Complete_BOOL_G,INTEGER,读写00050,读写,[0区]输出继电器,NULL,50,,1,
68,Flaw_Front_Back_B_o,INTEGER,读写00051,读写,[0区]输出继电器,NULL,51,,1,
69,PedalButton_B_G,INTEGER,读写00052,读写,[0区]输出继电器,NULL,52,,1,
70,FangJuanYaDai_o,INTEGER,读写01042,读写,[0区]输出继电器,NULL,1042,,1,
71,JieDaiQian_FD_o,INTEGER,读写01043,读写,[0区]输出继电器,NULL,1043,,1,
72,JieDaiHou_FD_o,INTEGER,读写01044,读写,[0区]输出继电器,NULL,1044,,1,
73,GuoDaoQYYG_FD_o,INTEGER,读写01045,读写,[0区]输出继电器,NULL,1045,,1,
74,ShouJuanQYYG_FD_o,INTEGER,读写01046,读写,[0区]输出继电器,NULL,1046,,1,
75,ShouJuanYDUp_Fa_o,INTEGER,读写01054,读写,[0区]输出继电器,NULL,1054,,1,
76,ShouJuanYDDown_Fa_o,INTEGER,读写01055,读写,[0区]输出继电器,NULL,1055,,1,
77,LightingFangJuan_o,INTEGER,读写01065,读写,[0区]输出继电器,NULL,1065,,1,
78,LightingShouJuan_1_o,INTEGER,读写01066,读写,[0区]输出继电器,NULL,1066,,1,
79,LightingShouJuan_2_o,INTEGER,读写01067,读写,[0区]输出继电器,NULL,1067,,1,
80,,INTEGER,读写01135,读写,[0区]输出继电器,NULL,1135,,1,
81,,INTEGER,读写01136,读写,[0区]输出继电器,NULL,1136,,1,
82,D_Start_BOOL_FromPC_GM,INTEGER,读写40001.00,读写,[4区]输出寄存器,通道的第00位,1,,1,
83,D_UpSpeed_BOOL_FromPC_GM,INTEGER,读写40001.01,读写,[4区]输出寄存器,通道的第01位,1,,1,
84,D_Stop_BOOL_FromPC_GM,INTEGER,读写40001.02,读写,[4区]输出寄存器,通道的第02位,1,,1,
85,ServoOffEnable00,INTEGER,读写40001.03,读写,[4区]输出寄存器,通道的第03位,1,,1,
86,D_DownSpeed_BOOL_FromPC_GM,INTEGER,读写40001.04,读写,[4区]输出寄存器,通道的第04位,1,,1,
87,OneKeyOp_b_g,INTEGER,读写40001.05,读写,[4区]输出寄存器,通道的第05位,1,,1,
88,LCD_ClearMeterLong_BOOL_GM,INTEGER,读写40001.06,读写,[4区]输出寄存器,通道的第06位,1,,1,
89,ZongMeterLongClear_BOOL_GM,INTEGER,读写40001.07,读写,[4区]输出寄存器,通道的第07位,1,,1,
90,AlertReset_BOOL_GM,INTEGER,读写40001.08,读写,[4区]输出寄存器,通道的第08位,1,,1,
91,YaGunZiDong_BOOL_GM,INTEGER,读写40001.09,读写,[4区]输出寄存器,通道的第09位,1,,1,
92,GDZuoU_b_g,INTEGER,读写40001.10,读写,[4区]输出寄存器,通道的第10位,1,,1,
93,GDZuoD_b_g,INTEGER,读写40001.11,读写,[4区]输出寄存器,通道的第11位,1,,1,
94,ZhaoMing_b_G,INTEGER,读写40001.12,读写,[4区]输出寄存器,通道的第12位,1,,1,
95,Xichen_b_G,INTEGER,读写40001.13,读写,[4区]输出寄存器,通道的第13位,1,,1,
96,ZuoGuDing_BOOL_GM,INTEGER,读写40001.14,读写,[4区]输出寄存器,通道的第14位,1,,1,
97,YouGuDing_BOOL_GM,INTEGER,读写40001.15,读写,[4区]输出寄存器,通道的第15位,1,,1,
98,YuanDaoDingZhen_b_G,INTEGER,读写40002.00,读写,[4区]输出寄存器,通道的第00位,2,,1,
99,GenSuiDianJiForced_B_G,INTEGER,读写40002.01,读写,[4区]输出寄存器,通道的第01位,2,,1,
100,D_QiZhangSwitch_BOOL_FromPC_GM,INTEGER,读写40002.02,读写,[4区]输出寄存器,通道的第02位,2,,1,
101,TensionRemainTingJi_Up_b,INTEGER,读写40002.03,读写,[4区]输出寄存器,通道的第03位,2,,1,
102,UpUnwind_Enable_b_G,INTEGER,读写40002.04,读写,[4区]输出寄存器,通道的第04位,2,,1,
103,Fang_or_Shou_b_G,INTEGER,读写40002.05,读写,[4区]输出寄存器,通道的第05位,2,,1,
104,,INTEGER,读写40002.06,读写,[4区]输出寄存器,通道的第06位,2,,1,
105,TensionRemainTingJi_b,INTEGER,读写40002.07,读写,[4区]输出寄存器,通道的第07位,2,,1,
106,DownUnwind_Enable_b_G,INTEGER,读写40002.08,读写,[4区]输出寄存器,通道的第08位,2,,1,
107,Fang_or_ShouDown_b_G,INTEGER,读写40002.09,读写,[4区]输出寄存器,通道的第09位,2,,1,
108,Up_Down_unwind_Up_b_G,INTEGER,读写40002.10,读写,[4区]输出寄存器,通道的第10位,2,,1,
109,,INTEGER,读写40002.11,读写,[4区]输出寄存器,通道的第11位,2,,1,
110,D_Reset_BOOL_FromPC_GM,INTEGER,读写40002.12,读写,[4区]输出寄存器,通道的第12位,2,,1,
111,LCD_RewindingArm_BOOL_GM,INTEGER,读写40002.13,读写,[4区]输出寄存器,通道的第13位,2,,1,
112,IniCalculating_BOOL_GM,INTEGER,读写40002.14,读写,[4区]输出寄存器,通道的第14位,2,,1,
